 waffle ,smear,chicken,drizzel,side,price,calories,protein,sodium,carbs,energy,num_occ
The Classic,Vanilla-Almond,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),14.75,676.0,40.7,1119.0,73.0,14.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Honey Dijon,Sautéed Squash & Onions,14.75,690.0,47.7,1099.0,51.0,14.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,14.75,679.0,47.7,1339.0,64.0,14.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Caribbean Calypso,Fresh-Cut Fruit,14.75,688.0,35.7,884.0,74.0,14.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Caribbean Calypso,Sautéed Squash & Onions,14.75,694.0,47.7,1184.0,58.0,14.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),14.75,686.0,43.7,894.0,75.0,14.75,1
The Classic,Peach-Apricot,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),14.75,667.0,41.7,889.0,61.0,14.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,14.75,684.0,35.7,844.0,67.0,14.75,1
The Classic,Chocolate-Hazelnut,A chicken cutlet,Caribbean Calypso,Sautéed Squash & Onions,14.75,696.0,47.7,1619.0,55.0,14.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,14.75,679.0,47.7,1339.0,64.0,14.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),14.75,671.0,40.7,969.0,67.0,14.75,1
The Classic,Vanilla-Almond,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,14.75,699.0,47.7,1379.0,64.0,14.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),14.75,667.0,40.7,839.0,60.0,14.75,1
The Classic,Peach-Apricot,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,14.75,684.0,36.7,849.0,68.0,14.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),14.75,686.0,43.7,849.0,75.0,14.75,1
The Classic,Chocolate-Hazelnut,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),14.75,669.0,40.7,1274.0,57.0,14.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),14.75,667.0,40.7,839.0,60.0,14.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,14.75,673.0,35.7,1039.0,80.0,14.75,1
The Classic,Chocolate-Hazelnut,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),14.75,673.0,40.7,1359.0,64.0,14.75,1
The Classic,Peach-Apricot,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,14.75,684.0,36.7,849.0,68.0,14.75,1
The Classic,Chocolate-Hazelnut,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),14.75,673.0,40.7,1359.0,64.0,14.75,1
The Classic,Chocolate-Hazelnut,A chicken cutlet,Honey Dijon,Sautéed Squash & Onions,14.75,692.0,47.7,1534.0,48.0,14.75,1
The Classic,Peach-Apricot,A chicken cutlet,Caribbean Calypso,Sautéed Squash & Onions,14.75,694.0,48.7,1234.0,59.0,14.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,14.75,684.0,35.7,844.0,67.0,14.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),14.75,671.0,40.7,924.0,67.0,14.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),14.75,656.0,40.7,1034.0,73.0,14.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,14.75,684.0,35.7,844.0,67.0,14.75,1
The Classic,Peach-Apricot,A chicken cutlet,Caribbean Calypso,Fresh-Cut Fruit,14.75,688.0,36.7,934.0,75.0,14.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),14.75,656.0,40.7,1034.0,73.0,14.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Caribbean Calypso,Sautéed Squash & Onions,14.75,694.0,47.7,1184.0,58.0,14.75,1
The Classic,Vanilla-Almond,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),14.75,691.0,40.7,1009.0,67.0,14.75,1
The Classic,Peach-Apricot,A chicken cutlet,Honey Dijon,Sautéed Squash & Onions,14.75,690.0,48.7,1149.0,52.0,14.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),14.75,686.0,43.7,849.0,75.0,14.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),14.75,686.0,43.7,894.0,75.0,14.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Honey Dijon,Sautéed Squash & Onions,14.75,690.0,47.7,1099.0,51.0,14.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Honey Dijon,Sautéed Squash & Onions,14.75,690.0,47.7,1099.0,51.0,14.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Caribbean Calypso,Sautéed Squash & Onions,14.75,694.0,47.7,1229.0,58.0,14.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Caribbean Calypso,Sautéed Squash & Onions,14.75,694.0,47.7,1184.0,58.0,14.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),14.75,686.0,43.7,849.0,75.0,14.75,1
The Classic,Chocolate-Hazelnut,A chicken cutlet,Caribbean Calypso,Sautéed Squash & Onions,14.75,696.0,47.7,1619.0,55.0,14.75,1
The Classic,Chocolate-Hazelnut,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,14.75,681.0,47.7,1729.0,61.0,14.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),14.75,686.0,43.7,894.0,75.0,14.75,1
